"Trial Number","Error 1 - Diagonal Distance","Error 2 - Horizontal Distance","Error 3 - Vertical Distance","Backwards Error 1","Backwards Error 2","Backwards Error 3"
"1","120","-100","-90","300","200","-250"
"2","450","-400","-200","-","-","-"
"3","650","-200","400","-","-","-"
"4","0","0","460","-","-","-"
"5","450","-250","-300","0","0","300"
"6","900","-600","-750","-","-","-"
"7","700","-750","100","600","500","-300"
"8","2430","-200","-2200","-","-","-"
"9","750","-650","-500","1500","1000","-1000"
"10","200","200","-150","-","-","-"
"11","1200","650","-200","550","500","100"
"12","1000","-900","-750","-","-","-"
"13","1700","1400","500","-","-","-"
"14","650","-500","-450","-","-","-"
"15","450","-300","250","-","-","-"
"16","200","0","0","-","-","-"
"17","750","-500","-550","100","-100","-30"
"18","800","-750","-420","1800","1200","-1400"
"19","900","-850","-450","2200","1800","-1100"
"20","600","-380","380","500","200","400"
"21","2500","200","-2500","-","-","-"
"22","2040","300","-1700","-","-","-"
"23","600","-150","400","-","-","-"
"24","400","-200","100","-","-","-"
"25","400","-200","450","-","-","-"
"26","1700","1500","0","-","-","-"
"27","550","-200","500","-","-","-"
"28","2250","-2100","-1900","-","-","-"
"29","600","-400","300","-","-","-"
"30","420","-400","-400","-","-","-"
"31","800","-650","-400","600","-550","100"
"32","2100","2000","500","-","-","-"
"33","2400","2300","300","-","-","-"
"34","2300","400","-2300","-","-","-"
"35","0","0","0","0","0","0"
"36","0","0","0","0","0","0"
