"Trial Number","Error 1 - Diagonal Distance","Error 2 - Horizontal Distance","Error 3 - Vertical Distance","Backwards Error 1","Backwards Error 2","Backwards Error 3"
"1","600","500","100","800","-500","-900"
"2","600","-500","100","700","850","50"
"3","600","-250","500","600","-500","-100"
"4","1800","-600","-2000","-","-","-"
"5","1000","-400","-1100","-","-","-"
"6","1680","-200","-1700","-","-","-"
"7","700","250","-790","-","-","-"
"8","400","200","100","-","-","-"
"9","1600","-650","-1600","-","-","-"
"10","600","300","500","700","-700","100"
"11","350","-100","-400","-","-","-"
"12","1300","-1350","-100","-","-","-"
"13","1300","-1100","-250","-","-","-"
"14","1100","-300","-1100","-","-","-"
"15","300","200","-250","1100","-1150","200"
"16","1100","-100","-1000","-","-","-"
"17","900","200","-900","-","-","-"
"18","400","-200","250","300","-250","-200"
"19","1150","-200","-1100","-","-","-"
"20","500","0","-600","700","400","300"
"21","1100","1100","-100","-","-","-"
"22","850","-900","200","800","-850","-100"
"23","1000","400","-1000","-","-","-"
"24","1300","-400","-1400","-","-","-"
"25","250","250","-50","-","-","-"
"26","150","-100","-120","900","900","0"
"27","800","-500","500","-","-","-"
"28","1800","-1900","500","-","-","-"
"29","500","400","-450","-","-","-"
"30","500","400","-200","1800","-1700","-400"
"31","400","-250","200","-","-","-"
"32","2550","-600","-2400","-","-","-"
"33","400","-200","-400","-","-","-"
"34","1600","500","-1500","-","-","-"
"35","0","0","0","0","0","0"
"36","0","0","0","0","0","0"
