Trial Number,Error 1 - Diagonal Distance,Error 2 - Horizontal Distance,Error 3 - Vertical Distance,Backwards Error 1,Backwards Error 2,Backwards Error 3
1,1590,1000,-1200,-,-,-
2,1150,-300,-1000,-,-,-
3,1600,-200,1500,-,-,-
4,800,-300,600,-,-,-
5,1300,200,-350,-,-,-
6,600,400,500,800,-850,-100
7,700,100,400,-,-,-
8,800,-450,-900,-,-,-
9,2000,-100,-2000,-,-,-
10,400,390,-100,500,-500,50
11,1200,-800,-1300,-,-,-
12,300,200,-290,-,-,-
13,0,0,0,600,140,-700
14,1700,-200,-1800,-,-,-
15,220,-100,-200,200,300,-300
16,400,-400,-200,750,-600,700
17,500,120,-510,-,-,-
18,300,100,-300,920,-900,-150
19,400,320,-450,0,0,0
20,400,390,-400,500,500,-300
21,250,-200,130,-,-,-
22,600,200,-590,0,0,0
23,700,500,-500,-,-,-
24,700,-760,300,-,-,-
25,120,-100,-200,-,-,-
26,1100,-600,-900,-,-,-
27,2000,-100,-2000,-,-,-
28,500,450,200,-,-,-
29,600,130,-600,400,-450,150
30,450,-390,-200,-,-,-
31,1900,-700,-1800,-,-,-
32,300,200,-400,-,-,-
33,700,-100,-720,-,-,-
34,500,390,-500,-,-,-
35,0,0,0,0,0,0
36,0,0,0,0,0,0
