Trial Number,Error 1 - Diagonal Distance,Error 2 - Horizontal Distance,Error 3 - Vertical Distance,Backwards Error 1,Backwards Error 2,Backwards Error 3,,
1,580,100,-600,-,-,-,,
2,600,-200,-580,-,-,-,,
3,730,200,-700,600,-630,100,,
4,1120,400,-1000,-,-,-,,
5,870,-120,-800,-,-,-,,
6,800,-550,-500,-,-,-,,
7,900,-550,-600,-,-,-,,
8,920,-140,-940,-,-,-,,
9,1200,-1000,-1400,-,-,-,,
10,700,-450,-600,-,-,-,,
11,1000,300,-900,-,-,-,,
12,310,200,-220,-,-,-,,
13,100,-100,0,-,-,-,,
14,400,-130,-440,-,-,-,,
15,480,-200,-500,-,-,-,,
16,400,150,-390,700,-500,450,,
17,820,200,-800,-,-,-,,
18,310,-200,-270,-,-,-,,
19,820,300,-800,850,-500,800,,
20,1800,-1000,-1400,-,-,-,,
21,1400,-700,-1000,-,-,-,,
22,810,-100,-800,310,120,300,,
23,500,120,-500,-,-,-,,
24,700,-210,-720,-,-,-,,
25,710,-400,-750,-,-,-,,
26,200,-190,-230,-,-,-,,
27,770,-200,-700,800,-800,400,,Ended the trial after goal point without marks
28,1050,200,-1000,700,590,420,,
29,1180,400,-1100,600,-150,610,,
30,1000,-120,-1030,780,800,-100,,Started the second mark a little late
31,600,-590,-500,-,-,-,,
32,600,200,-550,-,-,-,,
33,1180,200,-1120,800,-700,500,,
34,1100,200,-1080,400,200,420,,
35,0,0,0,0,0,0,,
36,0,0,0,0,0,0,,
