"Trial Number","Error 1 - Diagonal Distance","Error 2 - Horizontal Distance","Error 3 - Vertical Distance","Backwards Error 1","Backwards Error 2","Backwards Error 3"
"1","820","650","-400","-","-","-"
"2","800","-780","-300","-","-","-"
"3","700","-650","-400","-","-","-"
"4","440","-480","-300","-","-","-"
"5","740","-650","-630","300","260","-120"
"6","1500","-1450","-800","-","-","-"
"7","860","-700","770","2000","700","-1885"
"8","220","-200","-80","-","-","-"
"9","840","-400","-700","-","-","-"
"10","1420","-900","-1120","640","-400","-600"
"11","740","-200","-750","430","0","-430"
"12","120","40","-110","-","-","-"
"13","1100","-300","-1100","-","-","-"
"14","700","640","-400","-","-","-"
"15","1700","400","-1770","-","-","-"
"16","600","-110","-610","250","150","-220"
"17","490","150","-500","-","-","-"
"18","1100","-450","-1170","-","-","-"
"19","480","-100","-430","-","-","-"
"20","890","820","-600","-","-","-"
"21","380","-120","-320","970","-400","-880"
"22","700","-710","-150","-","-","-"
"23","1100","-160","-1110","290","-220","300"
"24","230","-110","-200","-","-","-"
"25","1100","-840","-1000","-","-","-"
"26","510","220","-430","1270","-1400","200"
"27","340","-200","-350","-","-","-"
"28","530","510","-400","-","-","-"
"29","300","-110","-280","1000","-1020","-650"
"30","1250","-280","-1260","700","-500","-510"
"31","640","610","200","-","-","-"
"32","670","-600","-130","-","-","-"
"33","2440","-840","-2400","-","-","-"
"34","800","-340","-710","-","-","-"
"35","0","0","0","0","0","0"
"36","0","0","0","0","0","0"
