Trial Number,Error 1 - Diagonal Distance,Error 2 - Horizontal Distance,Error 3 - Vertical Distance,Backwards Error 1,Backwards Error 2,Backwards Error 3,,
1,800,600,-760,-,-,-,,
2,3160,400,-3170,-,-,-,,
3,500,100,-550,-,-,-,,
4,1400,-800,540,-,-,-,,
5,1900,-900,-1800,-,-,-,,
6,800,-700,-300,-,-,-,,
7,400,200,-410,1300,450,-1200,,
8,420,-200,-390,1300,1400,-400,,
9,1200,-100,-1000,-,-,-,,
10,940,50,-920,-,-,-,,"The trial type was C no sound but the subject performed A no sound, so I switched this trial with trial #29"
11,3240,-1300,-3200,-,-,-,,
12,900,-400,870,900,750,780,,
13,1320,-300,-1390,-,-,-,,
14,2400,-350,-2390,-,-,-,,
15,240,100,-230,820,840,-150,,
16,2000,0,-2000,-,-,-,,
17,290,-200,-290,640,-400,-550,,
18,2200,-1210,-2100,-,-,-,,
19,1710,-120,-1720,-,-,-,,
20,1900,300,-1820,-,-,-,,
21,300,50,210,1200,-1280,310,,
22,0,0,0,200,150,-140,,
23,2000,0,-2000,-,-,-,,
24,350,-210,-300,600,200,-540,,
25,520,210,420,1400,-1320,-230,,
26,1800,-100,-1780,-,-,-,,
27,1900,180,-2000,-,-,-,,
28,1700,100,-1800,-,-,-,,
29,2100,-100,-2100,-,-,-,,"The trial type was A no sound but due to what happened in trial 10, I switched it to be C no sound (what 10 should have been)"
30,1880,-30,-1880,-,-,-,,
31,2000,0,-2000,-,-,-,,
32,1700,-200,-1690,-,-,-,,
33,1600,-130,-1610,-,-,-,,
34,230,-150,200,890,-900,-140,,
35,0,0,0,0,0,0,,
36,0,0,0,0,0,0,,
