Trial Number,Error 1 - Diagonal Distance,Error 2 - Horizontal Distance,Error 3 - Vertical Distance,Backwards Error 1,Backwards Error 2,Backwards Error 3
1,2500,-500,-2400,-,-,-
2,280,250,40,-,-,-
3,550,-310,-500,-,-,-
4,500,250,-540,-,-,-
5,1000,700,-820,-,-,-
6,340,-140,-400,-,-,-
7,390,-150,-400,-,-,-
8,1100,1000,-700,-,-,-
9,700,-200,-450,-,-,-
10,1040,350,1000,2000,1700,-1900
11,250,-240,-50,2100,1800,-1400
12,1000,-600,700,-,-,-
13,1350,-100,-1320,-,-,-
14,1500,1000,-1200,-,-,-
15,620,410,-500,-,-,-
16,850,80,-840,1300,1280,-300
17,1020,710,-700,-,-,-
18,1900,1300,-1400,-,-,-
19,1300,-120,-1400,310,100,340
20,200,-150,-190,1600,1700,-600
21,950,1000,-400,-,-,-
22,210,-220,-70,250,190,110
23,950,-970,100,-,-,-
24,400,-150,-420,390,-250,300
25,500,500,-200,-,-,-
26,1740,-1400,1700,-,-,-
27,800,-450,-720,-,-,-
28,600,150,-620,-,-,-
29,600,-220,-650,1000,900,-550
30,1620,1300,-1100,-,-,-
31,600,-620,-200,900,920,600
32,1500,-1350,-750,-,-,-
33,1000,-1090,-200,-,-,-
34,300,-100,-250,1300,-1260,100
35,0,0,0,0,0,0
36,0,0,0,0,0,0
