Trial Number,Error 1 - Diagonal Distance,Error 2 - Horizontal Distance,Error 3 - Vertical Distance,Backwards Error 1,Backwards Error 2,Backwards Error 3
1,1100,-1090,200,2650,1000,-2500
2,1100,-1020,-350,-,-,-
3,1300,-450,-1350,800,550,-550
4,720,-600,-450,2100,1900,-200
5,3400,-300,3400,-,-,-
6,1700,1600,-800,-,-,-
7,900,-650,-500,-,-,-
8,450,-430,-240,-,-,-
9,1200,-1100,600,1700,1300,-700
10,900,400,-920,-,-,-
11,800,-650,500,1100,1600,-700
12,550,-400,-450,-,-,-
13,700,-450,-400,1100,1160,-400
14,2000,0,-2000,-,-,-
15,1000,800,-500,-,-,-
16,600,-500,-500,-,-,-
17,3500,1300,3400,-,-,-
18,370,-320,-150,300,200,-250
19,1500,-1450,-150,1600,-1500,-250
20,900,-700,-650,-,-,-
21,1000,50,-1000,-,-,-
22,800,450,-740,-,-,-
23,900,-250,-850,-,-,-
24,1600,250,-1700,-,-,-
25,3200,1000,3300,-,-,-
26,3300,1700,3000,-,-,-
27,2200,-1400,-2000,-,-,-
28,1500,-1450,600,930,300,-920
29,1000,-1000,120,-,-,-
30,1070,-700,-900,-,-,-
31,1530,700,-1530,-,-,-
32,800,-350,-800,-,-,-
33,500,500,-200,1000,1090,-250
34,2400,-1100,-2000,-,-,-
35,0,0,0,0,0,0
36,0,0,0,0,0,0
