Trial Number,Error 1 - Diagonal Distance,Error 2 - Horizontal Distance,Error 3 - Vertical Distance,Backwards Error 1,Backwards Error 2,Backwards Error 3,,
1,800,-310,690,-,-,-,,
2,1260,-1000,1200,-,-,-,,
3,800,730,-200,-,-,-,,
4,1600,-1400,-700,-,-,-,,
5,3300,2100,2600,-,-,-,,
6,810,-700,600,-,-,-,,
7,1100,-100,1080,-,-,-,,
8,2000,0,-2000,-,-,-,,
9,1600,-1500,800,-,-,-,,
10,0,0,0,-,-,-,,
11,800,-500,510,-,-,-,,
12,2000,0,-2000,-,-,-,,
13,900,650,600,500,500,-100,,
14,850,100,820,-,-,-,,
15,1900,1700,-800,-,-,-,,
16,2800,800,2900,-,-,-,,
17,-,-,-,-,-,-,,"didn't record, don't use this trial"
18,240,-190,-230,1000,1010,-120,,
19,1600,-1400,-800,-,-,-,,
20,700,700,-100,1700,1500,-1300,,
21,800,-840,-100,-,-,-,,
22,840,-800,200,-,-,-,,
23,2000,1300,1450,-,-,-,,
24,550,200,380,1020,500,-850,,
25,440,430,-100,1080,1100,-600,,
26,530,500,100,600,580,-200,,
27,800,400,700,400,410,-50,,
28,700,700,50,600,-620,-40,,
29,950,-900,-300,-,-,-,,
30,650,600,250,650,600,-300,,
31,300,-280,-140,-,-,-,,
32,1600,-1000,-1400,-,-,-,,
33,2600,1000,2500,-,-,-,,
34,2000,0,-2000,-,-,-,,
35,0,0,0,0,0,0,,
36,0,0,0,0,0,0,,
