"Trial Number","Error 1 - Diagonal Distance","Error 2 - Horizontal Distance","Error 3 - Vertical Distance","Backwards Error 1","Backwards Error 2","Backwards Error 3"
"1","800","750","-240","2270","-2200","-400"
"2","750","120","-740","-","-","-"
"3","990","600","-700","120","100","-50"
"4","1130","-970","-650","-","-","-"
"5","1000","650","690","1220","-1230","550"
"6","940","550","-880","1100","-1030","-200"
"7","800","240","700","-","-","-"
"8","900","-130","-850","-","-","-"
"9","800","-100","-810","1020","800","-600"
"10","1200","1220","-400","-","-","-"
"11","1620","-650","-1810","-","-","-"
"12","2110","-1200","-1850","-","-","-"
"13","1200","450","-1100","350","200","310"
"14","680","100","-700","630","610","-170"
"15","1100","-650","-880","-","-","-"
"16","520","-130","-530","500","350","310"
"17","600","-350","-500","-","-","-"
"18","2300","-1300","-2580","-","-","-"
"19","1400","-200","-1350","-","-","-"
"20","1100","-450","-1010","-","-","-"
"21","750","650","-500","-","-","-"
"22","650","310","-500","-","-","-"
"23","650","320","-510","-","-","-"
"24","1130","-340","-1000","-","-","-"
"25","920","-320","-910","-","-","-"
"26","800","770","-350","-","-","-"
"27","370","340","220","-","-","-"
"28","1020","-120","-1040","0","0","0"
"29","760","550","-500","470","-100","-480"
"30","1000","950","750","-","-","-"
"31","820","150","-800","-","-","-"
"32","1200","-400","-1120","-","-","-"
"33","1900","-1550","-1600","-","-","-"
"34","820","-100","-840","-","-","-"
"35","0","0","0","0","0","0"
"36","0","0","0","0","0","0"
