Trial Number,Error 1 - Diagonal Distance,Error 2 - Horizontal Distance,Error 3 - Vertical Distance,Backwards Error 1,Backwards Error 2,Backwards Error 3,,
1,850,-100,800,2100,1600,-1700,,
2,1750,-1800,-100,-,-,-,,
3,2800,-2840,-500,-,-,-,,
4,1100,-1150,-200,2840,-1940,-2300,,
5,580,250,-610,1080,-1300,-200,,
6,1170,-1100,-870,-,-,-,,
7,700,-200,-780,400,-400,180,,
8,1440,1200,-800,-,-,-,,
9,400,490,-200,-,-,-,,
10,1700,-1670,-890,-,-,-,,
11,1550,-1600,-890,-,-,-,,
12,500,-590,150,750,480,500,,
13,2350,-1900,-1200,-,-,-,,
14,1540,-1400,-700,-,-,-,,
15,700,130,740,1570,-400,-1600,,
16,1500,-1300,-800,-,-,-,,
17,700,500,-750,-,-,-,,
18,2350,-1000,-2300,-,-,-,,
19,1800,-1900,-250,-,-,-,,
20,630,-120,640,2200,-2900,-2200,,
21,1300,-1200,-550,-,-,-,,
22,2230,-2100,-1200,-,-,-,,
23,650,-200,-600,1750,-700,-1600,,
24,310,100,-400,-,-,-,,
25,440,-260,-400,1620,1300,-1200,,
26,1640,-1000,-1100,-,-,-,,
27,1380,-1200,-870,-,-,-,,
28,2600,-1300,-2200,-,-,-,,
29,2850,-120,-2800,-,-,-,,
30,1900,1000,-1120,-,-,-,,
31,1740,-1300,-1900,-,-,-,,
32,3100,-200,-3060,-,-,-,,
33,2300,-1300,-1700,-,-,-,,
34,800,-300,-730,1300,1200,-890,,
35,0,0,0,0,0,0,,Ended trial on goal point without marks
36,0,0,0,0,0,0,,
