Trial Number,Error 1 - Diagonal Distance,Error 2 - Horizontal Distance,Error 3 - Vertical Distance,Backwards Error 1,Backwards Error 2,Backwards Error 3
1,320,-310,-250,-,-,-
2,350,290,-170,2800,600,-2770
3,2900,-400,-2890,-,-,-
4,1160,-100,1170,1080,-990,-400
5,3920,-1200,-3930,-,-,-
6,440,340,270,670,400,-500
7,1570,1200,-1100,-,-,-
8,750,500,-530,-,-,-
9,1690,1700,-750,-,-,-
10,450,-300,-350,1600,1500,-700
11,700,-100,720,960,700,-800
12,1970,-850,-1900,-,-,-
13,1190,130,1180,710,-410,-550
14,3220,2200,-2350,-,-,-
15,1400,1200,-1950,-,-,-
16,1100,1000,-700,-,-,-
17,1500,1150,-1200,-,-,-
18,420,180,-400,-,-,-
19,800,500,-600,-,-,-
20,240,210,-112,1050,690,-960
21,540,100,560,870,860,-300
22,700,-70,-710,-,-,-
23,2350,-200,-2320,-,-,-
24,2500,1600,-2000,-,-,-
25,300,-50,310,-,-,-
26,530,540,-110,-,-,-
27,2900,-500,-2870,-,-,-
28,1100,-950,-500,-,-,-
29,1430,-1250,-860,-,-,-
30,2190,-1700,-1400,-,-,-
31,1500,1220,-1040,-,-,-
32,280,130,260,670,-500,-500
33,2010,1700,-1100,-,-,-
34,600,400,-500,500,-490,-260
35,0,0,0,0,0,0
36,0,0,0,0,0,0
