Trial Number,Error 1 - Diagonal Distance,Error 2 - Horizontal Distance,Error 3 - Vertical Distance,Backwards Error 1,Backwards Error 2,Backwards Error 3
1,700,750,410,900,-700,-750
2,700,-100,-710,-,-,-
3,500,-450,150,-,-,-
4,500,190,40,-,-,-
5,840,200,-870,730,750,150
6,300,-250,-190,300,230,-200
7,280,200,130,-,-,-
8,210,-150,190,-,-,-
9,1800,1810,-300,-,-,-
10,900,120,-910,-,-,-
11,700,240,650,800,-400,-720
12,700,300,620,-,-,-
13,420,310,200,820,830,100
14,1200,-1250,-300,-,-,-
15,710,-500,-580,-,-,-
16,1200,300,-1100,-,-,-
17,250,-210,-170,-,-,-
18,970,-900,200,-,-,-
19,300,-200,-250,-,-,-
20,700,-650,-200,-,-,-
21,600,-300,-600,300,-240,150
22,790,-500,-600,-,-,-
23,390,-200,-400,-,-,-
24,500,-500,-30,250,150,120
25,710,350,-620,-,-,-
26,610,400,-500,-,-,-
27,1000,-300,-1200,800,840,-50
28,450,400,-30,-,-,-
29,800,-700,-310,-,-,-
30,1000,-740,-550,-,-,-
31,400,-300,-380,-,-,-
32,770,-410,-620,550,-400,-150
33,0,0,0,-,-,-
34,1050,-100,-1100,370,-350,-200
35,0,0,0,0,0,0
36,0,0,0,0,0,0
