Trial Number,Error 1 - Diagonal Distance,Error 2 - Horizontal Distance,Error 3 - Vertical Distance,Backwards Error 1,Backwards Error 2,Backwards Error 3
1,400,450,200,-,-,-
2,820,-240,-810,400,200,-450
3,1000,-660,-700,-,-,-
4,420,-210,-430,500,100,-510
5,600,-400,-500,1700,-1710,300
6,700,500,-340,-,-,-
7,1000,120,-1010,1000,-1200,-400
8,1000,400,-900,-,-,-
9,2900,1200,2700,-,-,-
10,1100,100,-1100,900,-920,-200
11,700,-710,-400,-,-,-
12,770,-550,-700,-,-,-
13,3200,1100,3100,-,-,-
14,3150,1600,3900,-,-,-
15,150,-240,120,-,-,-
16,400,-350,-400,-,-,-
17,300,-290,-330,-,-,-
18,1320,-800,-1100,-,-,-
19,1440,200,-1450,1490,-1500,230
20,1180,-130,-1100,1700,-1650,300
21,0,0,0,-,-,-
22,200,200,-100,-,-,-
23,200,180,-150,-,-,-
24,840,-430,-820,1800,-1880,340
25,470,480,-200,-,-,-
26,1040,100,-1030,1380,-1360,300
27,450,440,-100,-,-,-
28,1200,-1120,-450,-,-,-
29,570,530,-250,-,-,-
30,300,-340,-100,-,-,-
31,1600,1500,-750,-,-,-
32,1040,230,-1000,800,-810,-200
33,700,100,-760,-,-,-
34,200,-180,-100,-,-,-
35,0,0,0,50,0,-50
36,0,0,0,0,0,0
