Trial Number,Error 1 - Diagonal Distance,Error 2 - Horizontal Distance,Error 3 - Vertical Distance,Backwards Error 1,Backwards Error 2,Backwards Error 3,,
1,550,-600,-200,-,-,-,,
2,1050,-550,820,-,-,-,,
3,1020,-1000,250,-,-,-,,
4,2800,-500,-2750,-,-,-,,
5,2050,-2400,1100,-,-,-,,
6,1200,-800,-820,-,-,-,,
7,800,-200,900,2400,-2300,-1850,,"Ended trial after forward, so we don't know when backwards ended"
8,1000,-200,-1100,3100,-3000,-200,,
9,500,-150,450,2800,-2500,-1700,,
10,1540,-900,-1000,-,-,-,,
11,1900,-1700,-1040,-,-,-,,
12,950,-600,-670,1100,-1000,-200,,
13,1790,-1000,-1300,-,-,-,,
14,1400,-900,-800,-,-,-,,
15,1040,400,1000,-,-,-,,
16,1800,-1200,-1500,-,-,-,,
17,1300,1200,-200,-,-,-,,
18,200,-150,-190,1600,-1700,-1170,,
19,430,400,-300,-,-,-,,
20,200,-220,-100,1400,-1500,-300,,
21,1310,-1300,-100,-,-,-,,
22,3080,-200,-3000,-,-,-,,
23,1300,1200,-400,-,-,-,,
24,500,-590,-100,-,-,-,,
25,600,-200,-500,600,-650,-300,,
26,900,-100,-980,-,-,-,,
27,1200,-100,-1100,-,-,-,,
28,700,-240,-600,700,-690,-100,,
29,300,-290,-350,1000,-1100,-120,,
30,800,700,300,-,-,-,,
31,600,-200,-550,-,-,-,,
32,400,-230,-490,700,-200,-680,,
33,1400,-900,1100,-,-,-,,
34,220,-100,-210,-,-,-,,
35,0,0,0,0,0,0,,
36,0,0,0,100,0,-100,,
