"Trial Number","Error 1 - Diagonal Distance","Error 2 - Horizontal Distance","Error 3 - Vertical Distance","Backwards Error 1","Backwards Error 2","Backwards Error 3"
"1","800","400","700","-","-","-"
"2","400","350","-200","750","-200","-710"
"3","1000","-700","-900","550","-120","-550"
"4","860","-870","-200","-","-","-"
"5","1040","300","-1000","300","200","-210"
"6","1300","-700","-1200","650","630","120"
"7","1600","-1300","-1500","-","-","-"
"8","400","-480","-100","-","-","-"
"9","2000","-1800","-2300","-","-","-"
"10","500","-590","-100","-","-","-"
"11","1900","-1800","300","-","-","-"
"12","0","0","0","-","-","-"
"13","500","-240","400","-","-","-"
"14","1700","1500","-200","-","-","-"
"15","1500","-600","-1300","-","-","-"
"16","1400","1300","-700","-","-","-"
"17","600","350","-400","1900","-2000","-400"
"18","1000","800","-600","1900","-200","700"
"19","600","-580","-200","490","-440","-150"
"20","2500","2400","-700","-","-","-"
"21","600","-100","500","-","-","-"
"22","800","810","-100","2300","-2400","450"
"23","2780","2400","-1400","-","-","-"
"24","1200","1250","400","-","-","-"
"25","2200","2400","200","-","-","-"
"26","1300","1250","-400","-","-","-"
"27","800","-700","-340","-","-","-"
"28","800","-300","-810","2300","-2310","-100"
"29","3000","3100","-1700","-","-","-"
"30","1200","-1290","-800","-","-","-"
"31","0","0","0","-","-","-"
"32","800","-700","400","-","-","-"
"33","1200","-1210","-100","2100","-2210","300"
"34","1000","-600","-900","-","-","-"
"35","0","0","0","0","0","0"
"36","0","0","0","0","0","0"
