Trial Number,Error 1 - Diagonal Distance,Error 2 - Horizontal Distance,Error 3 - Vertical Distance,Backwards Error 1,Backwards Error 2,Backwards Error 3,,
1,1400,-1100,-1000,-,-,-,,
2,1200,1500,400,-,-,-,,
3,2000,0,-2000,-,-,-,,
4,1900,500,-1800,-,-,-,,
5,2620,-800,-2100,-,-,-,,
6,600,-210,-550,-,-,-,,
7,1480,250,-1200,-,-,-,,
8,1000,-440,-1100,-,-,-,,
9,1410,-1100,-1500,-,-,-,,
10,1490,-600,-1230,-,-,-,,
11,3600,100,-3630,-,-,-,,
12,1200,1000,-700,1300,-400,-1210,,
13,900,200,-900,-,-,-,,
14,1000,900,150,1580,-770,-1240,,
15,2500,-800,-2600,-,-,-,,
16,500,-700,770,-,-,-,,
17,200,-150,-200,-,-,-,,
18,470,500,-320,840,140,-900,,Started bakward mark (2) too late (when trial ended). Should be ~3 seconds earlier
19,500,400,-600,-,-,-,,
20,400,200,-420,-,-,-,,
21,900,350,-820,700,-300,-690,,
22,1890,-1300,-1450,-,-,-,,
23,600,650,-500,-,-,-,,
24,1700,600,-1600,-,-,-,,
25,1200,1000,-400,520,-590,-400,,
26,900,800,-380,600,400,500,,
27,2100,-1200,-1900,-,-,-,,
28,2000,-350,-2100,-,-,-,,
29,300,-150,320,200,100,-200,,
30,400,300,350,1000,-100,1000,,
31,800,-500,620,400,150,420,,
32,500,-100,-530,700,240,310,,
33,700,-100,-720,-,-,-,,
34,1400,-1300,-700,-,-,-,,
35,0,0,0,0,0,0,,
36,0,0,0,0,0,0,,
