Trial Number,Error 1 - Diagonal Distance,Error 2 - Horizontal Distance,Error 3 - Vertical Distance,Backwards Error 1,Backwards Error 2,Backwards Error 3
1,810,-370,-770,830,-750,-350
2,300,-260,-160,-,-,-
3,500,-480,270,890,770,-350
4,2270,-2250,300,-,-,-
5,3180,-3580,-1450,-,-,-
6,680,-380,-520,-,-,-
7,2200,-1550,-1780,-,-,-
8,700,600,-400,-,-,-
9,1670,1640,-170,-,-,-
10,2520,-2380,-1130,-,-,-
11,2760,2180,-1340,-,-,-
12,470,-100,-450,250,200,-113
13,700,150,-450,640,620,-400
14,1000,-890,-700,-,-,-
15,570,260,-500,340,500,410
16,2150,-2130,350,-,-,-
17,2340,-2390,-2800,-,-,-
18,1620,-1560,-600,-,-,-
19,2240,-2140,-1300,-,-,-
20,360,-340,100,750,760,-200
21,500,200,470,-,-,-
22,400,113,-350,930,910,-300
23,3080,2400,-1970,-,-,-
24,3100,-2200,-2050,-,-,-
25,300,-230,280,-,-,-
26,700,-430,-550,850,540,-660
27,1050,400,1190,-,-,-
28,950,-920,320,-,-,-
29,1620,-1600,400,-,-,-
30,1260,-1200,-400,-,-,-
31,280,-150,-230,1270,1200,-350
32,970,980,-120,-,-,-
33,450,-360,-350,610,620,-140
34,2920,2230,-2800,-,-,-
35,0,0,0,0,0,0
36,0,0,0,0,0,0
