Trial Number,Error 1 - Diagonal Distance,Error 2 - Horizontal Distance,Error 3 - Vertical Distance,Backwards Error 1,Backwards Error 2,Backwards Error 3
1,700,-400,-600,-,-,-
2,1100,-1200,-350,2400,-1400,-2100
3,1300,-1000,-800,-,-,-
4,950,-900,-100,2700,-1700,2100
5,1100,-200,-1100,-,-,-
6,600,-240,-520,-,-,-
7,500,200,-400,-,-,-
8,1100,-1000,-200,-,-,-
9,2600,-400,-2500,-,-,-
10,2000,0,-2000,-,-,-
11,1500,-1500,-550,3000,-1300,-2800
12,2000,0,-2000,-,-,-
13,1000,600,-800,-,-,-
14,1800,-200,-1800,-,-,-
15,900,-200,-900,-,-,-
16,2000,0,-2000,-,-,-
17,2200,-2170,-400,3500,1200,-3000
18,650,-400,-500,1280,-1300,-600
19,1320,-100,-1300,-,-,-
20,2000,0,-2000,-,-,-
21,740,-700,-100,400,-320,-350
22,1600,-100,-1600,-,-,-
23,1200,-800,-900,1000,-1400,200
24,2000,-100,-2000,-,-,-
25,1400,-1300,-560,2100,-1700,-1240
26,1000,-200,-1100,-,-,-
27,1400,-200,-1390,-,-,-
28,2800,600,-2700,-,-,-
29,2000,100,-2000,-,-,-
30,1300,-1300,-650,1900,1600,-1300
31,2000,-100,-2000,-,-,-
32,2000,-150,-2000,-,-,-
33,1200,-300,-1250,-,-,-
34,1600,-1500,-500,700,700,-90
35,0,0,0,0,0,0
36,0,0,0,0,0,0
