Trial Number,Error 1 - Diagonal Distance,Error 2 - Horizontal Distance,Error 3 - Vertical Distance,Backwards Error 1,Backwards Error 2,Backwards Error 3,,
1,1200,-950,-700,-,-,-,,
2,360,200,-370,-,-,-,,
3,800,400,-650,600,240,-550,,
4,1200,-1070,-600,-,-,-,,
5,1060,-1040,-150,-,-,-,,
6,1810,1320,-1030,-,-,-,,
7,700,650,-300,490,-450,200,,
8,1800,300,-1780,-,-,-,,
9,760,-240,-700,-,-,-,,
10,380,140,-300,1300,-1200,-500,,
11,620,700,500,-,-,-,,
12,800,650,550,-,-,-,,
13,1310,-700,-1380,-,-,-,,
14,1230,1200,300,-,-,-,,
15,2000,-1200,-1600,-,-,-,,ended earlier than specified in data
16,200,190,-180,1100,-1060,-600,,
17,1240,-1030,-900,-,-,-,,
18,1000,-920,-500,-,-,-,,
19,940,-970,-500,-,-,-,,ended earlier than specified in data
20,1300,-1200,-1500,-,-,-,,
21,310,-290,-100,-,-,-,,
22,480,-490,-150,-,-,-,,
23,1080,-500,-1000,-,-,-,,
24,250,-50,-240,1000,-900,350,,
25,800,790,350,-,-,-,,
26,500,-100,490,490,-500,-30,,
27,1020,-570,-900,-,-,-,,
28,1200,-1000,-780,-,-,-,,
29,400,200,300,400,-240,490,,
30,770,160,780,1000,-1100,150,,
31,1240,-1200,600,-,-,-,,
32,290,250,120,370,-390,240,,
33,650,290,-590,-,-,-,,
34,400,270,300,810,800,-150,,
35,0,0,0,0,0,0,,between trials 35-36 there are redundant wiasl marks (1 and 2)
36,0,0,0,0,0,0,,
