"Trial Number","Error 1 - Diagonal Distance","Error 2 - Horizontal Distance","Error 3 - Vertical Distance","Backwards Error 1","Backwards Error 2","Backwards Error 3"
"1","2100","900","-1900","-","-","-"
"2","820","-700","450","1840","-1740","-800"
"3","1800","930","-1340","-","-","-"
"4","1600","-1200","-1100","-","-","-"
"5","1600","-1350","-900","-","-","-"
"6","950","-830","-500","-","-","-"
"7","1420","-1200","-800","-","-","-"
"8","2100","-2030","-900","-","-","-"
"9","800","650","-600","1870","-1500","-1340"
"10","1930","1800","-1200","-","-","-"
"11","3040","-2800","-1890","-","-","-"
"12","2100","-1300","-1800","-","-","-"
"13","1040","-830","-700","900","-800","-600"
"14","2930","-100","-2900","-","-","-"
"15","3500","-300","-3550","-","-","-"
"16","1500","-1200","-1150","-","-","-"
"17","2100","1900","-1000","-","-","-"
"18","500","-50","-510","710","-500","-600"
"19","1900","1200","-1600","-","-","-"
"20","800","-150","-780","700","450","-750"
"21","1800","-1400","-1200","-","-","-"
"22","2700","300","-2640","-","-","-"
"23","3070","2200","-3310","-","-","-"
"24","1500","-400","-1400","-","-","-"
"25","2980","1900","-2300","-","-","-"
"26","800","100","-770","1600","-600","-1350"
"27","1380","310","-1290","1150","-160","-1210"
"28","1810","1500","-1100","-","-","-"
"29","820","230","-780","680","300","-670"
"30","1720","-1710","200","-","-","-"
"31","840","340","-780","950","-150","-910"
"32","930","-100","-920","1700","750","-1900"
"33","600","570","-300","-","-","-"
"34","510","480","-310","-","-","-"
"35","0","0","0","75","0","-75"
"36","0","0","0","0","0","0"
