"Trial Number","Error 1 - Diagonal Distance","Error 2 - Horizontal Distance","Error 3 - Vertical Distance","Backwards Error 1","Backwards Error 2","Backwards Error 3"
"1","2300","1300","-1900","-","-","-"
"2","1470","1660","-1420","-","-","-"
"3","640","300","-620","-","-","-"
"4","1100","920","-730","-","-","-"
"5","2820","1600","-2500","-","-","-"
"6","1000","-450","-1200","-","-","-"
"7","500","450","-170","-","-","-"
"8","770","250","-710","1100","-1110","250"
"9","1300","1100","-250","-","-","-"
"10","570","310","-500","900","-890","100"
"11","1000","110","-1010","550","-400","400"
"12","1020","-400","-1000","700","680","250"
"13","590","310","-300","-","-","-"
"14","920","-200","-940","1200","-1100","600"
"15","3000","-1200","3100","-","-","-"
"16","940","-1040","-800","-","-","-"
"17","1320","-1000","-900","-","-","-"
"18","2200","1500","-1800","-","-","-"
"19","900","-200","-910","300","-200","200"
"20","240","150","-200","-","-","-"
"21","1300","1250","-300","-","-","-"
"22","1100","-100","-1290","800","-700","300"
"23","2100","750","2000","-","-","-"
"24","1200","-850","-700","-","-","-"
"25","1180","-600","-1200","-","-","-"
"26","1900","-400","-1910","-","-","-"
"27","1750","400","1700","-","-","-"
"28","2500","200","2450","-","-","-"
"29","1730","400","1700","-","-","-"
"30","790","-200","-710","700","550","400"
"31","900","880","-250","-","-","-"
"32","1200","-100","-1200","720","-550","500"
"33","3700","-1500","3600","-","-","-"
"34","1100","100","-1100","700","550","300"
"35","0","0","0","0","0","0"
"36","0","0","0","0","0","0"
